Date,Open,High,Low,Close,Adj Close,Volume
2014-04-08,541.114380,553.480408,540.127075,553.380676,553.380676,3151200
2014-04-09,558.087769,563.822021,551.436035,562.595398,562.595398,3330800
2014-04-10,563.453064,563.453064,538.421753,539.468872,539.468872,4036800
2014-04-11,531.091858,538.521484,525.088379,529.147217,529.147217,3924800
2014-04-14,536.776306,542.610291,528.110046,531.061951,531.061951,2575000
2014-04-15,535.350220,536.975708,517.040466,534.971252,534.971252,3855000
2014-04-16,541.513306,555.474915,538.521484,555.016174,555.016174,4893200
2014-04-17,547.307373,547.995483,529.695740,534.632141,534.632141,6809500
2014-04-21,534.632141,535.230530,524.160889,527.172668,527.172668,2566700
2014-04-22,527.192566,535.759094,526.065674,533.345703,533.345703,2365300
2014-04-23,532.328491,532.408264,524.809143,525.497253,525.497253,2052300
2014-04-24,528.618652,530.194336,520.690430,523.722107,523.722107,1883100
2014-04-25,521.079407,523.263367,514.008789,514.766724,514.766724,2100300
2014-04-28,515.763977,517.180054,501.423340,515.734070,515.734070,3335500
2014-04-29,515.484741,528.010376,514.906311,526.255188,526.255188,2699000
2014-04-30,526.155457,526.554321,521.089355,525.218018,525.218018,1751100
2014-05-01,525.666809,531.470825,522.445618,529.895203,529.895203,1905500
2014-05-02,532.298584,532.537903,524.170898,526.484558,526.484558,1688500
2014-05-05,523.383057,527.451904,519.892639,526.364868,526.364868,1024100
2014-05-06,523.791931,525.367615,513.649780,513.729553,513.729553,1689000
2014-05-07,514.377747,515.265320,501.921967,508.563751,508.563751,3224300
2014-05-08,507.067841,515.813843,505.063354,509.600891,509.600891,2021300
2014-05-09,509.351563,518.476501,502.819519,517.309753,517.309753,2439400
2014-05-12,522.076660,528.738342,517.588989,528.469116,528.469116,1912500
2014-05-13,529.436462,534.602234,528.060181,531.630432,531.630432,1653400
2014-05-14,531.540649,531.540649,523.851746,525.208069,525.208069,1191700
2014-05-15,524.260620,524.430176,516.003296,518.556274,518.556274,1704300
2014-05-16,519.962463,520.371338,514.028748,519.204529,519.204529,1485200
2014-05-19,518.277100,528.329468,516.165894,527.411987,527.411987,1277700
2014-05-20,528.289551,534.761841,524.859009,528.319519,528.319519,1784700
2014-05-21,531.440918,537.706726,530.453613,537.464417,537.464417,1196200
2014-05-22,539.648376,546.100708,539.299377,543.567627,543.567627,1615800
2014-05-23,545.761597,552.124146,542.211365,551.186707,551.186707,1932100
2014-05-27,554.477661,564.450317,552.832214,564.400452,564.400452,2104100
2014-05-28,563.024231,566.285278,559.463989,560.142151,560.142151,1652000
2014-05-29,561.807556,562.455750,557.180237,558.546509,558.546509,1354100
2014-05-30,559.264526,559.813049,554.387939,558.357056,558.357056,1771100
2014-06-02,559.164795,559.364258,544.235779,552.413330,552.413330,1435000
2014-06-03,549.481384,550.827698,541.064514,543.447937,543.447937,1866600
2014-06-04,540.017395,547.107910,537.274902,543.168701,543.168701,1816400
2014-06-05,544.903992,553.430542,542.959290,552.383423,552.383423,1689100
2014-06-06,556.532043,556.532043,547.427063,554.806763,554.806763,1736700
2014-06-09,555.624512,561.358765,554.517578,560.580933,560.580933,1467500
2014-06-10,558.975342,562.056885,556.372498,559.015198,559.015198,1351700
2014-06-11,556.472229,558.347046,553.500366,557.309875,557.309875,1100100
2014-06-12,555.774109,556.462219,546.958313,549.840393,549.840393,1458400
2014-06-13,550.747925,550.787842,544.066284,550.249268,550.249268,1220500
2014-06-16,547.756165,548.115173,540.037354,542.789795,542.789795,1702500
2014-06-17,542.709961,543.826904,537.853333,541.523254,541.523254,1444500
2014-06-18,543.368164,552.044373,542.510559,551.854858,551.854858,1741700
2014-06-19,552.722473,553.480408,547.008179,553.380676,553.380676,2456800
2014-06-20,555.325378,556.053345,548.885010,554.836670,554.836670,4508300
2014-06-23,553.630005,563.453064,552.732483,563.403198,563.403198,1536800
2014-06-24,563.642517,571.078125,559.473938,563.074097,563.074097,2207100
2014-06-25,563.712341,578.372070,563.672424,577.065674,577.065674,1969300
2014-06-26,579.409241,580.855286,570.284302,574.422913,574.422913,1741900
2014-06-27,575.599670,578.282349,572.228943,575.659546,575.659546,2236900
